nombre_cancion,nombre_artista,duracion,oyentes,reproducciones,url
Gnarly,KATSEYE,137,925755,19869204,https://www.last.fm/music/KATSEYE/_/Gnarly
The Color Violet,Tory Lanez,226,1096436,27866788,https://www.last.fm/music/Tory+Lanez/_/The+Color+Violet
20 Min,Lil Uzi Vert,220,1313785,23932776,https://www.last.fm/music/Lil+Uzi+Vert/_/20+Min
Boys Don't Cry,The Cure,163,2337601,26369154,https://www.last.fm/music/The+Cure/_/Boys+Don%27t+Cry
All the Things She Said,t.A.T.u.,214,1574861,14722688,https://www.last.fm/music/t.A.T.u./_/All+the+Things+She+Said
Break Stuff,Limp Bizkit,234,1856726,22650628,https://www.last.fm/music/Limp+Bizkit/_/Break+Stuff
Paparazzi,Lady Gaga,208,2784739,31826853,https://www.last.fm/music/Lady+Gaga/_/Paparazzi
Who Knows,Daniel Caesar,226,387713,5165905,https://www.last.fm/music/Daniel+Caesar/_/Who+Knows
Weird Fishes / Arpeggi,Radiohead,0,969677,10620948,https://www.last.fm/music/Radiohead/_/Weird+Fishes+%2F+Arpeggi
That's What I Like,Bruno Mars,206,1837950,17485692,https://www.last.fm/music/Bruno+Mars/_/That%27s+What+I+Like
Champagne Coast,Blood Orange,292,969825,16697242,https://www.last.fm/music/Blood+Orange/_/Champagne+Coast
Die with a Smile,Lady Gaga,251,1747927,30667939,https://www.last.fm/music/Lady+Gaga/_/Die+with+a+Smile
Heartless,Kanye West,210,2827250,33748883,https://www.last.fm/music/Kanye+West/_/Heartless
Rush,Troye Sivan,156,1028282,20483594,https://www.last.fm/music/Troye+Sivan/_/Rush
Like Him (feat. Lola Young),"Tyler, The Creator",278,1394258,21519379,"https://www.last.fm/music/Tyler,+The+Creator/_/Like+Him+(feat.+Lola+Young)"
